Finished epoch:65 | Loss : 0.1584 | Learning Rate: 0.03 | Eval loss: 0.16618800163269043
Finished epoch:66 | Loss : 0.1587 | Learning Rate: 0.03 | Eval loss: 0.16339550912380219
Finished epoch:67 | Loss : 0.1578 | Learning Rate: 0.03 | Eval loss: 0.16681188344955444
Finished epoch:68 | Loss : 0.1572 | Learning Rate: 0.03 | Eval loss: 0.1639077514410019
Finished epoch:69 | Loss : 0.1566 | Learning Rate: 0.03 | Eval loss: 0.1661309003829956
Finished epoch:70 | Loss : 0.1561 | Learning Rate: 0.03 | Eval loss: 0.16166283190250397
Finished epoch:71 | Loss : 0.1561 | Learning Rate: 0.03 | Eval loss: 0.16354408860206604
Finished epoch:72 | Loss : 0.1560 | Learning Rate: 0.03 | Eval loss: 0.16074523329734802
Finished epoch:73 | Loss : 0.1558 | Learning Rate: 0.03 | Eval loss: 0.16194655001163483
Finished epoch:74 | Loss : 0.1548 | Learning Rate: 0.03 | Eval loss: 0.1637638658285141
Finished epoch:75 | Loss : 0.1551 | Learning Rate: 0.03 | Eval loss: 0.16196388006210327
Finished epoch:76 | Loss : 0.1548 | Learning Rate: 0.03 | Eval loss: 0.16410914063453674
Finished epoch:77 | Loss : 0.1541 | Learning Rate: 0.03 | Eval loss: 0.1616230309009552
Finished epoch:78 | Loss : 0.1549 | Learning Rate: 0.03 | Eval loss: 0.160039484500885
Finished epoch:79 | Loss : 0.1532 | Learning Rate: 0.03 | Eval loss: 0.16036725044250488
Finished epoch:80 | Loss : 0.1534 | Learning Rate: 0.03 | Eval loss: 0.16053330898284912
Finished epoch:81 | Loss : 0.1531 | Learning Rate: 0.03 | Eval loss: 0.16034889221191406
Finished epoch:82 | Loss : 0.1527 | Learning Rate: 0.03 | Eval loss: 0.16136565804481506
Finished epoch:83 | Loss : 0.1530 | Learning Rate: 0.03 | Eval loss: 0.16039469838142395
Finished epoch:84 | Loss : 0.1522 | Learning Rate: 0.03 | Eval loss: 0.1594996303319931
Finished epoch:85 | Loss : 0.1525 | Learning Rate: 0.03 | Eval loss: 0.15866459906101227
Finished epoch:86 | Loss : 0.1520 | Learning Rate: 0.03 | Eval loss: 0.15974000096321106
Finished epoch:87 | Loss : 0.1514 | Learning Rate: 0.03 | Eval loss: 0.15905651450157166
Finished epoch:88 | Loss : 0.1511 | Learning Rate: 0.03 | Eval loss: 0.15850324928760529
Finished epoch:89 | Loss : 0.1516 | Learning Rate: 0.03 | Eval loss: 0.15898361802101135
Finished epoch:90 | Loss : 0.1510 | Learning Rate: 0.03 | Eval loss: 0.15820319950580597
Finished epoch:91 | Loss : 0.1506 | Learning Rate: 0.03 | Eval loss: 0.15764109790325165
Finished epoch:92 | Loss : 0.1509 | Learning Rate: 0.03 | Eval loss: 0.15884016454219818
Finished epoch:93 | Loss : 0.1507 | Learning Rate: 0.03 | Eval loss: 0.1582033634185791
Finished epoch:94 | Loss : 0.1507 | Learning Rate: 0.03 | Eval loss: 0.15785250067710876
Finished epoch:95 | Loss : 0.1505 | Learning Rate: 0.03 | Eval loss: 0.15659712255001068
Finished epoch:96 | Loss : 0.1499 | Learning Rate: 0.03 | Eval loss: 0.15867364406585693
Finished epoch:97 | Loss : 0.1501 | Learning Rate: 0.03 | Eval loss: 0.15827219188213348
Finished epoch:98 | Loss : 0.1498 | Learning Rate: 0.03 | Eval loss: 0.1565278172492981
Finished epoch:99 | Loss : 0.1497 | Learning Rate: 0.03 | Eval loss: 0.15681308507919312
Finished epoch:100 | Loss : 0.1497 | Learning Rate: 0.03 | Eval loss: 0.15759365260601044
Finished epoch:101 | Loss : 0.1493 | Learning Rate: 0.03 | Eval loss: 0.15695446729660034
Finished epoch:102 | Loss : 0.1488 | Learning Rate: 0.03 | Eval loss: 0.1552048623561859
Finished epoch:103 | Loss : 0.1488 | Learning Rate: 0.03 | Eval loss: 0.1568375825881958
Finished epoch:104 | Loss : 0.1488 | Learning Rate: 0.03 | Eval loss: 0.15632952749729156
Finished epoch:105 | Loss : 0.1488 | Learning Rate: 0.03 | Eval loss: 0.15620389580726624
Finished epoch:106 | Loss : 0.1487 | Learning Rate: 0.015 | Eval loss: 0.15788106620311737
Finished epoch:107 | Loss : 0.2958 | Learning Rate: 0.015 | Eval loss: 0.2121228277683258
Finished epoch:108 | Loss : 0.1891 | Learning Rate: 0.015 | Eval loss: 0.18727129697799683
Finished epoch:109 | Loss : 0.1703 | Learning Rate: 0.015 | Eval loss: 0.17169955372810364
Finished epoch:110 | Loss : 0.1624 | Learning Rate: 0.015 | Eval loss: 0.16732242703437805
Finished epoch:111 | Loss : 0.1601 | Learning Rate: 0.015 | Eval loss: 0.16278336942195892
Finished epoch:112 | Loss : 0.1573 | Learning Rate: 0.015 | Eval loss: 0.16306281089782715
Finished epoch:113 | Loss : 0.1559 | Learning Rate: 0.015 | Eval loss: 0.1605200320482254
Finished epoch:114 | Loss : 0.1544 | Learning Rate: 0.015 | Eval loss: 0.16257785260677338
Finished epoch:115 | Loss : 0.1561 | Learning Rate: 0.015 | Eval loss: 0.17043951153755188
Finished epoch:116 | Loss : 0.1541 | Learning Rate: 0.015 | Eval loss: 0.1672583669424057
Finished epoch:117 | Loss : 0.1526 | Learning Rate: 0.015 | Eval loss: 0.15980198979377747
Finished epoch:118 | Loss : 0.1511 | Learning Rate: 0.015 | Eval loss: 0.15710748732089996
Finished epoch:119 | Loss : 0.1504 | Learning Rate: 0.015 | Eval loss: 0.1580495834350586
Finished epoch:120 | Loss : 0.1508 | Learning Rate: 0.015 | Eval loss: 0.15821290016174316
Finished epoch:121 | Loss : 0.1499 | Learning Rate: 0.015 | Eval loss: 0.15783528983592987
Finished epoch:122 | Loss : 0.1494 | Learning Rate: 0.015 | Eval loss: 0.1590692549943924
Finished epoch:123 | Loss : 0.1494 | Learning Rate: 0.015 | Eval loss: 0.15656112134456635
Finished epoch:124 | Loss : 0.1495 | Learning Rate: 0.015 | Eval loss: 0.15582066774368286
Finished epoch:125 | Loss : 0.1495 | Learning Rate: 0.0075 | Eval loss: 0.15932628512382507
Finished epoch:126 | Loss : 0.1893 | Learning Rate: 0.0075 | Eval loss: 0.17109839618206024
Finished epoch:127 | Loss : 0.1562 | Learning Rate: 0.0075 | Eval loss: 0.15856632590293884
Finished epoch:128 | Loss : 0.1504 | Learning Rate: 0.0075 | Eval loss: 0.15675629675388336
Finished epoch:129 | Loss : 0.1484 | Learning Rate: 0.0075 | Eval loss: 0.15484952926635742
Finished epoch:130 | Loss : 0.1479 | Learning Rate: 0.0075 | Eval loss: 0.15557074546813965
Finished epoch:131 | Loss : 0.1478 | Learning Rate: 0.0075 | Eval loss: 0.15956810116767883
Finished epoch:132 | Loss : 0.1480 | Learning Rate: 0.0075 | Eval loss: 0.15624433755874634
Finished epoch:133 | Loss : 0.1472 | Learning Rate: 0.0075 | Eval loss: 0.15602760016918182
Finished epoch:134 | Loss : 0.1471 | Learning Rate: 0.0075 | Eval loss: 0.1546163409948349
Finished epoch:135 | Loss : 0.1468 | Learning Rate: 0.0075 | Eval loss: 0.15547500550746918
Finished epoch:136 | Loss : 0.1466 | Learning Rate: 0.0075 | Eval loss: 0.1545403152704239
Finished epoch:137 | Loss : 0.1462 | Learning Rate: 0.0075 | Eval loss: 0.15340036153793335
Finished epoch:138 | Loss : 0.1462 | Learning Rate: 0.0075 | Eval loss: 0.15465682744979858
Finished epoch:139 | Loss : 0.1463 | Learning Rate: 0.0075 | Eval loss: 0.1534893810749054
Finished epoch:140 | Loss : 0.1459 | Learning Rate: 0.0075 | Eval loss: 0.15377642214298248
Finished epoch:141 | Loss : 0.1457 | Learning Rate: 0.0075 | Eval loss: 0.15217185020446777
Finished epoch:142 | Loss : 0.1451 | Learning Rate: 0.0075 | Eval loss: 0.15358179807662964
Finished epoch:143 | Loss : 0.1453 | Learning Rate: 0.0075 | Eval loss: 0.1535436362028122
Finished epoch:144 | Loss : 0.1454 | Learning Rate: 0.0075 | Eval loss: 0.1538689285516739
