Finished epoch:57 | Loss : 0.0780 | Learning Rate: 0.025 | Eval loss: 0.08450876176357269
Finished epoch:58 | Loss : 0.0738 | Learning Rate: 0.025 | Eval loss: 0.09594542533159256
Finished epoch:1 | Loss : 0.5055 | Learning Rate: 0.025 | Eval loss: 3.097249984741211
Finished epoch:2 | Loss : 0.3044 | Learning Rate: 0.025 | Eval loss: 0.3445395231246948
Finished epoch:3 | Loss : 0.2646 | Learning Rate: 0.025 | Eval loss: 0.3607177734375
Finished epoch:4 | Loss : 0.2279 | Learning Rate: 0.025 | Eval loss: 0.23733359575271606
Finished epoch:5 | Loss : 0.2311 | Learning Rate: 0.025 | Eval loss: 0.2601361572742462
Finished epoch:6 | Loss : 0.2124 | Learning Rate: 0.025 | Eval loss: 0.2217589169740677
Finished epoch:7 | Loss : 0.1991 | Learning Rate: 0.025 | Eval loss: 0.2077282816171646
Finished epoch:8 | Loss : 0.1930 | Learning Rate: 0.025 | Eval loss: 0.25171998143196106
Finished epoch:9 | Loss : 0.1867 | Learning Rate: 0.025 | Eval loss: 0.1965387761592865
Finished epoch:10 | Loss : 0.1749 | Learning Rate: 0.025 | Eval loss: 0.18999284505844116
Finished epoch:11 | Loss : 0.1782 | Learning Rate: 0.025 | Eval loss: 0.20073330402374268
Finished epoch:12 | Loss : 0.1750 | Learning Rate: 0.025 | Eval loss: 0.1882023960351944
Finished epoch:13 | Loss : 0.1743 | Learning Rate: 0.025 | Eval loss: 0.1981566846370697
Finished epoch:14 | Loss : 0.1682 | Learning Rate: 0.025 | Eval loss: 0.18297219276428223
Finished epoch:15 | Loss : 0.1548 | Learning Rate: 0.025 | Eval loss: 0.1893000602722168
Finished epoch:16 | Loss : 0.1535 | Learning Rate: 0.025 | Eval loss: 0.18705850839614868
Finished epoch:17 | Loss : 0.1483 | Learning Rate: 0.025 | Eval loss: 0.16746781766414642
Finished epoch:18 | Loss : 0.1590 | Learning Rate: 0.025 | Eval loss: 0.1727127730846405
Finished epoch:19 | Loss : 0.1419 | Learning Rate: 0.025 | Eval loss: 0.1621122658252716
Finished epoch:20 | Loss : 0.1417 | Learning Rate: 0.025 | Eval loss: 0.15576811134815216
Finished epoch:21 | Loss : 0.1395 | Learning Rate: 0.025 | Eval loss: 0.1543751358985901
Finished epoch:22 | Loss : 0.1360 | Learning Rate: 0.025 | Eval loss: 0.14644664525985718
Finished epoch:23 | Loss : 0.1353 | Learning Rate: 0.025 | Eval loss: 0.1516338586807251
Finished epoch:24 | Loss : 0.1444 | Learning Rate: 0.025 | Eval loss: 0.2022898942232132
Finished epoch:25 | Loss : 0.1308 | Learning Rate: 0.025 | Eval loss: 0.16184790432453156
Finished epoch:1 | Loss : 0.5690 | Learning Rate: 0.05 | Eval loss: 1.5005247592926025
Finished epoch:2 | Loss : 0.3390 | Learning Rate: 0.05 | Eval loss: 0.3214569389820099
Finished epoch:3 | Loss : 0.2631 | Learning Rate: 0.05 | Eval loss: 0.38842520117759705
Finished epoch:4 | Loss : 0.2387 | Learning Rate: 0.05 | Eval loss: 0.25389400124549866
Finished epoch:5 | Loss : 0.2473 | Learning Rate: 0.05 | Eval loss: 0.2356252670288086
Finished epoch:6 | Loss : 0.2172 | Learning Rate: 0.05 | Eval loss: 0.22953972220420837
Finished epoch:7 | Loss : 0.2156 | Learning Rate: 0.05 | Eval loss: 0.215463787317276
Finished epoch:8 | Loss : 0.2092 | Learning Rate: 0.05 | Eval loss: 0.20233598351478577
Finished epoch:9 | Loss : 0.1915 | Learning Rate: 0.05 | Eval loss: 0.19954323768615723
Finished epoch:10 | Loss : 0.1996 | Learning Rate: 0.05 | Eval loss: 0.2648388743400574
Finished epoch:11 | Loss : 0.1844 | Learning Rate: 0.05 | Eval loss: 0.1961735486984253
Finished epoch:12 | Loss : 0.1749 | Learning Rate: 0.05 | Eval loss: 0.3590219020843506
Finished epoch:13 | Loss : 0.1939 | Learning Rate: 0.05 | Eval loss: 0.18068049848079681
Finished epoch:14 | Loss : 0.1859 | Learning Rate: 0.05 | Eval loss: 0.20341798663139343
Finished epoch:15 | Loss : 0.1692 | Learning Rate: 0.05 | Eval loss: 0.19743619859218597
Finished epoch:16 | Loss : 0.1716 | Learning Rate: 0.05 | Eval loss: 0.16062544286251068
Finished epoch:17 | Loss : 0.1676 | Learning Rate: 0.05 | Eval loss: 0.17488105595111847
Finished epoch:18 | Loss : 0.1561 | Learning Rate: 0.05 | Eval loss: 0.14969302713871002
Finished epoch:19 | Loss : 0.1502 | Learning Rate: 0.05 | Eval loss: 0.16133874654769897
Finished epoch:20 | Loss : 0.1501 | Learning Rate: 0.05 | Eval loss: 0.1651182770729065
Finished epoch:21 | Loss : 0.1552 | Learning Rate: 0.05 | Eval loss: 0.15377405285835266
Finished epoch:1 | Loss : 0.5950 | Learning Rate: 0.05 | Eval loss: 2.236926555633545
Finished epoch:2 | Loss : 0.3323 | Learning Rate: 0.05 | Eval loss: 0.30204206705093384
