Finished epoch:65 | Loss : 0.1733 | Learning Rate: 0.05 | Eval loss: 0.18517915904521942
Finished epoch:66 | Loss : 0.1731 | Learning Rate: 0.05 | Eval loss: 0.18394893407821655
Finished epoch:67 | Loss : 0.1718 | Learning Rate: 0.05 | Eval loss: 0.18375469744205475
Finished epoch:68 | Loss : 0.1722 | Learning Rate: 0.05 | Eval loss: 0.1841784417629242
Finished epoch:69 | Loss : 0.1713 | Learning Rate: 0.05 | Eval loss: 0.18452873826026917
Finished epoch:70 | Loss : 0.1719 | Learning Rate: 0.05 | Eval loss: 0.18331187963485718
Finished epoch:71 | Loss : 0.1702 | Learning Rate: 0.05 | Eval loss: 0.18316976726055145
Finished epoch:72 | Loss : 0.1704 | Learning Rate: 0.05 | Eval loss: 0.1848393976688385
Finished epoch:73 | Loss : 0.1702 | Learning Rate: 0.05 | Eval loss: 0.18175125122070312
Finished epoch:74 | Loss : 0.1699 | Learning Rate: 0.05 | Eval loss: 0.18109092116355896
Finished epoch:75 | Loss : 0.1693 | Learning Rate: 0.05 | Eval loss: 0.1825723946094513
Finished epoch:76 | Loss : 0.1681 | Learning Rate: 0.05 | Eval loss: 0.18137487769126892
Finished epoch:77 | Loss : 0.1693 | Learning Rate: 0.05 | Eval loss: 0.18182669579982758
Finished epoch:78 | Loss : 0.1680 | Learning Rate: 0.05 | Eval loss: 0.18070289492607117
Finished epoch:79 | Loss : 0.1684 | Learning Rate: 0.05 | Eval loss: 0.18413995206356049
Finished epoch:80 | Loss : 0.1671 | Learning Rate: 0.05 | Eval loss: 0.1810259371995926
Finished epoch:81 | Loss : 0.1682 | Learning Rate: 0.05 | Eval loss: 0.18008984625339508
Finished epoch:82 | Loss : 0.1674 | Learning Rate: 0.05 | Eval loss: 0.18041321635246277
Finished epoch:83 | Loss : 0.1670 | Learning Rate: 0.05 | Eval loss: 0.17946620285511017
Finished epoch:84 | Loss : 0.1671 | Learning Rate: 0.05 | Eval loss: 0.17929543554782867
Finished epoch:85 | Loss : 0.1669 | Learning Rate: 0.05 | Eval loss: 0.18070736527442932
Finished epoch:86 | Loss : 0.1652 | Learning Rate: 0.05 | Eval loss: 0.17935438454151154
Finished epoch:87 | Loss : 0.1652 | Learning Rate: 0.05 | Eval loss: 0.17850375175476074
Finished epoch:88 | Loss : 0.1655 | Learning Rate: 0.05 | Eval loss: 0.17951233685016632
Finished epoch:89 | Loss : 0.1655 | Learning Rate: 0.05 | Eval loss: 0.17743229866027832
Finished epoch:90 | Loss : 0.1660 | Learning Rate: 0.025 | Eval loss: 0.17687419056892395
Finished epoch:91 | Loss : 0.3210 | Learning Rate: 0.025 | Eval loss: 0.24471606314182281
Finished epoch:92 | Loss : 0.2035 | Learning Rate: 0.025 | Eval loss: 0.21095341444015503
Finished epoch:93 | Loss : 0.1868 | Learning Rate: 0.025 | Eval loss: 0.19512195885181427
Finished epoch:94 | Loss : 0.1805 | Learning Rate: 0.025 | Eval loss: 0.19065099954605103
Finished epoch:95 | Loss : 0.1763 | Learning Rate: 0.025 | Eval loss: 0.18864594399929047
Finished epoch:96 | Loss : 0.1750 | Learning Rate: 0.025 | Eval loss: 0.18493211269378662
Finished epoch:97 | Loss : 0.1721 | Learning Rate: 0.025 | Eval loss: 0.18515217304229736
Finished epoch:98 | Loss : 0.1706 | Learning Rate: 0.025 | Eval loss: 0.18355287611484528
Finished epoch:99 | Loss : 0.1695 | Learning Rate: 0.025 | Eval loss: 0.1812056601047516
Finished epoch:100 | Loss : 0.1684 | Learning Rate: 0.025 | Eval loss: 0.18188048899173737
Finished epoch:101 | Loss : 0.1677 | Learning Rate: 0.025 | Eval loss: 0.17897774279117584
Finished epoch:102 | Loss : 0.1672 | Learning Rate: 0.025 | Eval loss: 0.18099017441272736
Finished epoch:103 | Loss : 0.1666 | Learning Rate: 0.025 | Eval loss: 0.1809374988079071
Finished epoch:104 | Loss : 0.1664 | Learning Rate: 0.025 | Eval loss: 0.18123076856136322
Finished epoch:105 | Loss : 0.1662 | Learning Rate: 0.025 | Eval loss: 0.17801034450531006
Finished epoch:106 | Loss : 0.1655 | Learning Rate: 0.025 | Eval loss: 0.1772235631942749
Finished epoch:107 | Loss : 0.1651 | Learning Rate: 0.025 | Eval loss: 0.17787733674049377
Finished epoch:108 | Loss : 0.1643 | Learning Rate: 0.025 | Eval loss: 0.17679722607135773
Finished epoch:109 | Loss : 0.1641 | Learning Rate: 0.025 | Eval loss: 0.17797920107841492
Finished epoch:110 | Loss : 0.1641 | Learning Rate: 0.025 | Eval loss: 0.17625948786735535
Finished epoch:111 | Loss : 0.1627 | Learning Rate: 0.025 | Eval loss: 0.1752777397632599
Finished epoch:112 | Loss : 0.1617 | Learning Rate: 0.025 | Eval loss: 0.1740594059228897
Finished epoch:113 | Loss : 0.1621 | Learning Rate: 0.025 | Eval loss: 0.17541107535362244
Finished epoch:114 | Loss : 0.1615 | Learning Rate: 0.025 | Eval loss: 0.17656053602695465
Finished epoch:115 | Loss : 0.1610 | Learning Rate: 0.025 | Eval loss: 0.17447368800640106
Finished epoch:116 | Loss : 0.1611 | Learning Rate: 0.025 | Eval loss: 0.17273610830307007
Finished epoch:117 | Loss : 0.1611 | Learning Rate: 0.025 | Eval loss: 0.17447052896022797
Finished epoch:118 | Loss : 0.1599 | Learning Rate: 0.0125 | Eval loss: 0.17540976405143738
Finished epoch:119 | Loss : 0.2160 | Learning Rate: 0.0125 | Eval loss: 0.19202709197998047
Finished epoch:120 | Loss : 0.1697 | Learning Rate: 0.0125 | Eval loss: 0.17704130709171295
Finished epoch:121 | Loss : 0.1619 | Learning Rate: 0.0125 | Eval loss: 0.1731366068124771
Finished epoch:122 | Loss : 0.1604 | Learning Rate: 0.0125 | Eval loss: 0.17203077673912048
Finished epoch:123 | Loss : 0.1596 | Learning Rate: 0.0125 | Eval loss: 0.1726950854063034
Finished epoch:124 | Loss : 0.1588 | Learning Rate: 0.0125 | Eval loss: 0.17169134318828583
Finished epoch:125 | Loss : 0.1591 | Learning Rate: 0.0125 | Eval loss: 0.1701834797859192
Finished epoch:126 | Loss : 0.1593 | Learning Rate: 0.0125 | Eval loss: 0.17341583967208862
Finished epoch:127 | Loss : 0.1586 | Learning Rate: 0.00625 | Eval loss: 0.17069590091705322
Finished epoch:128 | Loss : 0.1718 | Learning Rate: 0.00625 | Eval loss: 0.17551490664482117
Finished epoch:129 | Loss : 0.1598 | Learning Rate: 0.00625 | Eval loss: 0.17169328033924103
Finished epoch:130 | Loss : 0.1580 | Learning Rate: 0.00625 | Eval loss: 0.17035171389579773
Finished epoch:131 | Loss : 0.1572 | Learning Rate: 0.00625 | Eval loss: 0.17090964317321777
Finished epoch:132 | Loss : 0.1570 | Learning Rate: 0.00625 | Eval loss: 0.16994135081768036
Finished epoch:133 | Loss : 0.1571 | Learning Rate: 0.00625 | Eval loss: 0.17017444968223572
Finished epoch:134 | Loss : 0.1565 | Learning Rate: 0.00625 | Eval loss: 0.1697656512260437
Finished epoch:135 | Loss : 0.1567 | Learning Rate: 0.00625 | Eval loss: 0.16880978643894196
Finished epoch:136 | Loss : 0.1562 | Learning Rate: 0.00625 | Eval loss: 0.16927623748779297
Finished epoch:137 | Loss : 0.1563 | Learning Rate: 0.00625 | Eval loss: 0.16974204778671265
Finished epoch:138 | Loss : 0.1563 | Learning Rate: 0.00625 | Eval loss: 0.17024578154087067
Finished epoch:139 | Loss : 0.1556 | Learning Rate: 0.003125 | Eval loss: 0.16906122863292694
Finished epoch:140 | Loss : 0.1599 | Learning Rate: 0.003125 | Eval loss: 0.17095254361629486
Finished epoch:141 | Loss : 0.1556 | Learning Rate: 0.003125 | Eval loss: 0.16906513273715973
Finished epoch:142 | Loss : 0.1549 | Learning Rate: 0.003125 | Eval loss: 0.16879627108573914
Finished epoch:143 | Loss : 0.1555 | Learning Rate: 0.003125 | Eval loss: 0.16834133863449097
Finished epoch:144 | Loss : 0.1553 | Learning Rate: 0.003125 | Eval loss: 0.1679949313402176
Finished epoch:145 | Loss : 0.1546 | Learning Rate: 0.003125 | Eval loss: 0.16796591877937317
